issue,interpretation
"장기간 주문 없음","고객이 마지막으로 주문한 후 오랜 시간이 경과했습니다. 이는 서비스 이용이 중단되었거나 관심이 떨어졌을 수 있으며, 재구매 유도가 필요합니다."
"낮은 주문 빈도","고객의 주문 횟수가 적어 서비스 이용이 활발하지 않은 상태입니다. 이는 서비스에 대한 관심도가 낮거나 필요성을 느끼지 못하고 있을 수 있습니다."
"높은 주문 빈도","고객의 주문 횟수가 많아 서비스 이용이 활발한 상태입니다. 이는 서비스에 대한 만족도가 높고 지속적인 이용이 이루어지고 있음을 나타냅니다."
"낮은 캐시백 사용","고객이 캐시백 혜택을 적게 받고 있어 혜택 활용도가 낮습니다. 이는 캐시백 혜택에 대한 인지도가 낮거나 활용 방법을 모르고 있을 수 있습니다."
"높은 캐시백 사용","고객이 캐시백 혜택을 많이 받고 있어 혜택 활용도가 높습니다. 이는 가격 민감도가 높고 혜택에 대한 관심이 높다는 것을 의미합니다."
"낮은 앱 사용 시간","고객의 앱 사용 시간이 적어 서비스와의 상호작용이 부족합니다. 이는 앱의 사용성이나 가치에 대한 인식이 낮을 수 있습니다."
"높은 앱 사용 시간","고객의 앱 사용 시간이 많아 서비스와의 상호작용이 활발합니다. 이는 앱의 사용성과 가치를 높게 평가하고 있다는 것을 의미합니다."
"짧은 거래 기간","고객과의 거래 기간이 짧아 충성도가 낮은 상태입니다. 신규 고객의 경우 서비스에 대한 신뢰도가 낮을 수 있으며, 초기 경험이 중요합니다."
"긴 거래 기간","고객과의 거래 기간이 길어 충성도가 높은 상태입니다. 장기 고객의 경우 서비스에 대한 신뢰도가 높으며, 지속적인 관계 유지가 가능합니다."
"낮은 주문 증가율","고객의 주문 증가율이 낮아 구매 행동이 감소하는 추세입니다. 이는 서비스에 대한 관심도가 떨어지고 있거나 경쟁 서비스로 이동할 가능성이 있습니다."
"높은 주문 증가율","고객의 주문 증가율이 높아 구매 행동이 증가하는 추세입니다. 이는 서비스에 대한 만족도가 높고 지속적인 성장이 가능한 상태입니다."
"낮은 쿠폰 사용","고객이 쿠폰을 적게 사용하고 있어 혜택 활용도가 낮습니다. 이는 쿠폰에 대한 인지도가 낮거나 활용 방법을 모르고 있을 수 있습니다."
"높은 쿠폰 사용","고객이 쿠폰을 많이 사용하고 있어 혜택 활용도가 높습니다. 이는 가격 민감도가 높고 혜택에 대한 관심이 높다는 것을 의미합니다."
"먼 배송 거리","고객의 배송 거리가 멀어 배송 시간과 비용이 높을 수 있습니다. 이는 배송 서비스에 대한 만족도에 영향을 줄 수 있는 요소입니다."
"가까운 배송 거리","고객의 배송 거리가 가까워 빠른 배송이 가능한 상태입니다. 이는 배송 서비스에 대한 만족도를 높일 수 있는 요소입니다."
"비선호 로그인 기기 사용","고객이 선호하지 않는 기기로 서비스를 이용하고 있습니다. 이는 사용자 경험에 영향을 줄 수 있으며, 선호 기기로의 전환을 유도할 필요가 있습니다."
"선호 로그인 기기 사용","고객이 선호하는 기기로 서비스를 이용하고 있습니다. 이는 최적의 사용자 경험을 제공할 수 있는 상태입니다."
"비선호 결제 수단 사용","고객이 선호하지 않는 결제 수단을 사용하고 있습니다. 이는 결제 과정의 불편함을 초래할 수 있으며, 선호 결제 수단으로의 전환을 유도할 필요가 있습니다."
"선호 결제 수단 사용","고객이 선호하는 결제 수단을 사용하고 있습니다. 이는 결제 과정의 편의성을 보장할 수 있는 상태입니다."
"성별 관련 이슈","고객의 성별에 따른 서비스 이용 패턴에 차이가 있습니다. 이는 성별에 맞춘 맞춤형 서비스 제공이 필요할 수 있습니다."
"비선호 카테고리 주문","고객이 선호하지 않는 카테고리의 상품을 주문하고 있습니다. 이는 구매 만족도에 영향을 줄 수 있으며, 선호 카테고리로의 유도를 고려해볼 필요가 있습니다."
"선호 카테고리 주문","고객이 선호하는 카테고리의 상품을 주문하고 있습니다. 이는 고객의 구매 만족도를 높일 수 있는 상태입니다."
"결혼 상태 관련 이슈","고객의 결혼 상태에 따른 서비스 이용 패턴에 차이가 있습니다. 이는 결혼 상태에 맞춘 맞춤형 서비스 제공이 필요할 수 있습니다."
"도시 등급 관련 이슈","고객의 거주 지역 등급에 따른 서비스 이용 패턴에 차이가 있습니다. 이는 지역 특성에 맞춘 맞춤형 서비스 제공이 필요할 수 있습니다."
"적은 주소 등록","고객이 등록한 배송지 주소가 적어 배송 옵션이 제한적입니다. 이는 배송 편의성에 영향을 줄 수 있으며, 추가 주소 등록을 유도할 필요가 있습니다."
"많은 주소 등록","고객이 등록한 배송지 주소가 많아 다양한 배송 옵션을 활용할 수 있습니다. 이는 배송 편의성을 높일 수 있는 상태입니다."
"적은 기기 등록","고객이 등록한 기기가 적어 서비스 접근성이 제한적입니다. 이는 서비스 이용 편의성에 영향을 줄 수 있으며, 추가 기기 등록을 유도할 필요가 있습니다."
"많은 기기 등록","고객이 등록한 기기가 많아 다양한 기기에서 서비스를 이용할 수 있습니다. 이는 서비스 접근성과 편의성을 높일 수 있는 상태입니다."
"낮은 만족도","고객의 서비스 만족도가 낮은 상태입니다. 이는 전반적인 서비스 경험이 기대에 미치지 못하고 있다는 신호이며, 지속적인 개선이 필요합니다."
"높은 만족도","고객의 서비스 만족도가 높은 상태입니다. 이는 고객 충성도를 높이고 장기적인 관계를 유지할 수 있는 좋은 기회입니다."
"높은 불만 제기","고객이 서비스나 제품에 대해 불만을 제기한 경험이 있습니다. 이는 서비스 품질이나 고객 경험에 대한 만족도가 낮다는 것을 의미하며, 적절한 대응이 필요합니다."