issue,solution1,solution2,solution3
높은 불만 제기,불만 사항 즉시 처리,사과 및 보상 프로그램,서비스 개선 피드백 수집
낮은 만족도,전담 상담원 배정,맞춤형 서비스 제공,만족도 향상 프로그램 참여
높은 만족도,로열티 프로그램 가입 안내,프리미엄 서비스 소개,추천 고객 프로그램 제안
장기간 주문 없음,개인화된 할인 쿠폰 발송,관심 상품 재입고 알림 서비스,최근 트렌드 상품 추천
낮은 주문 빈도,주문 빈도 기반 할인 혜택,정기 구독 서비스 추천,자동 주문 설정 안내
높은 주문 빈도,VIP 멤버십 제안,대량 구매 할인 혜택,프리미엄 배송 서비스
낮은 캐시백 사용,캐시백 적립 이벤트 안내,캐시백 사용 방법 가이드,캐시백 전용 상품 추천
높은 캐시백 사용,캐시백 적립 한도 상향,캐시백 전용 상품 확대,캐시백 사용 혜택 강화
낮은 앱 사용 시간,앱 사용 보상 프로그램,앱 기능 활용 가이드,앱 전용 혜택 안내
높은 앱 사용 시간,앱 전용 프리미엄 혜택,앱 사용자 맞춤 추천,앱 내 이벤트 참여 기회
짧은 거래 기간,신규 고객 전용 혜택,장기 고객 혜택 안내,충성도 프로그램 소개
긴 거래 기간,장기 고객 감사 혜택,VIP 멤버십 제안,특별 이벤트 초대
낮은 주문 증가율,구매 금액대별 할인,프리미엄 상품 추천,구매 금액 목표 달성 보상
높은 주문 증가율,프리미엄 멤버십 제안,대량 구매 할인 혜택,특별 이벤트 초대
낮은 쿠폰 사용,맞춤형 쿠폰 발급,쿠폰 사용 가이드,쿠폰 만료 알림 서비스
높은 쿠폰 사용,쿠폰 사용 한도 상향,프리미엄 쿠폰 발급,쿠폰 사용 보상 프로그램
먼 배송 거리,무료 배송 혜택,프리미엄 배송 서비스,배송비 할인 쿠폰
가까운 배송 거리,당일 배송 서비스,픽업 서비스 안내,로컬 상품 추천
비선호 로그인 기기 사용,선호 기기 설정 안내,기기별 맞춤 서비스 소개,기기 전환 혜택 제공
선호 로그인 기기 사용,기기별 맞춤 혜택,멀티 디바이스 지원,기기 연동 서비스
비선호 결제 수단 사용,선호 결제 수단 설정 안내,결제 수단별 혜택 소개,결제 수단 전환 혜택
선호 결제 수단 사용,결제 수단별 맞춤 혜택,자동 결제 설정 안내,결제 보안 서비스
성별 관련 이슈,성별 맞춤 상품 추천,성별별 이벤트 안내,맞춤형 서비스 제공
비선호 카테고리 주문,선호 카테고리 설정 안내,카테고리별 맞춤 추천,카테고리 전환 혜택
선호 카테고리 주문,카테고리별 맞춤 혜택,신규 상품 알림,카테고리 이벤트 안내
결혼 상태 관련 이슈,결혼 상태별 맞춤 상품,가족 구성원별 혜택,맞춤형 서비스 제공
도시 등급 관련 이슈,지역별 맞춤 상품,지역 이벤트 안내,지역별 서비스 제공
적은 주소 등록,주소 추가 혜택,배송지 관리 서비스,주소 등록 보상
많은 주소 등록,주소별 맞춤 서비스,다중 배송지 관리,주소 기반 추천
적은 기기 등록,기기 등록 혜택,멀티 디바이스 지원,기기 관리 서비스
많은 기기 등록,기기별 맞춤 서비스,기기 연동 혜택,기기 관리 프로그램 